antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'diet_type=Vegan'}),frozenset({'fat_g_cat=medium'}),0.1725,0.3335,0.064,0.37101449275362325,1.112487234643548,1.0,0.006471250000000005,1.059642857142857,0.1221912764350454,0.14479638009049775,0.05628581058308062,0.2814592703648176
frozenset({'diet_type=Keto'}),frozenset({'sugar_g_cat=low'}),0.161,0.335,0.06,0.37267080745341613,1.1124501715027346,1.0,0.006064999999999994,1.0600495049504952,0.12048073102900267,0.13761467889908258,0.0566478307570167,0.2758876425326782
frozenset({'sugar_g_cat=low'}),frozenset({'diet_type=Keto'}),0.335,0.161,0.06,0.1791044776119403,1.1124501715027346,1.0,0.006064999999999994,1.0220545454545453,0.15200501253132817,0.13761467889908258,0.021578638393254215,0.2758876425326782
frozenset({'diet_type=Low-Carb'}),frozenset({'protein_g_cat=medium'}),0.169,0.3325,0.0625,0.3698224852071006,1.1122480758108289,1.0,0.006307499999999994,1.059225352112676,0.12144404332129952,0.14236902050113892,0.05591383551625555,0.27889620500956536
frozenset({'protein_g_cat=medium'}),frozenset({'diet_type=Low-Carb'}),0.3325,0.169,0.0625,0.18796992481203006,1.1122480758108286,1.0,0.006307499999999994,1.0233611111111112,0.1511910112359549,0.14236902050113892,0.02282782769197359,0.27889620500956536
frozenset({'cholesterol_mg_cat=low'}),frozenset({'cuisine=Indian'}),0.335,0.141,0.0525,0.15671641791044774,1.1114639568116862,1.0,0.005264999999999999,1.0186371681415929,0.15080558539205152,0.12396694214876033,0.01829617917397876,0.26452842172118135
frozenset({'cuisine=Indian'}),frozenset({'cholesterol_mg_cat=low'}),0.141,0.335,0.0525,0.37234042553191493,1.1114639568116862,1.0,0.005264999999999999,1.059491525423729,0.11674704806253117,0.12396694214876033,0.05615101583746603,0.26452842172118135
frozenset({'cooking_method=Boiled'}),frozenset({'carbs_g_cat=medium'}),0.153,0.3325,0.0565,0.369281045751634,1.1106196864710796,1.0,0.0056275000000000006,1.0583160621761658,0.1175935890336534,0.13170163170163168,0.05510269026462021,0.2696029288908546
frozenset({'carbs_g_cat=medium'}),frozenset({'cooking_method=Boiled'}),0.3325,0.153,0.0565,0.16992481203007517,1.1106196864710796,1.0,0.0056275000000000006,1.020389492753623,0.14921613469888306,0.13170163170163168,0.01998206851248545,0.2696029288908546
frozenset({'sugar_g_cat=low'}),frozenset({'fiber_g_cat=high'}),0.335,0.3335,0.124,0.3701492537313433,1.1098928147866365,1.0,0.012277499999999983,1.0581872037914692,0.14889037108901262,0.22773186409550042,0.05498762750389086,0.37098167334243326
frozenset({'fiber_g_cat=high'}),frozenset({'sugar_g_cat=low'}),0.3335,0.335,0.124,0.3718140929535232,1.1098928147866363,1.0,0.012277499999999983,1.0586038186157518,0.14855528398228568,0.22773186409550042,0.05535953827597469,0.37098167334243326
frozenset({'fat_g_cat=low'}),frozenset({'diet_type=Paleo'}),0.3335,0.1595,0.059,0.17691154422788605,1.1091632866952104,1.0,0.0058067499999999925,1.0211539162112933,0.14766615382659207,0.1359447004608295,0.02071569807006073,0.27340875017036936
frozenset({'diet_type=Paleo'}),frozenset({'fat_g_cat=low'}),0.1595,0.3335,0.059,0.36990595611285265,1.1091632866952104,1.0,0.0058067499999999925,1.057778606965174,0.11709636112483474,0.1359447004608295,0.05462258981673313,0.27340875017036936
frozenset({'diet_type=Balanced'}),frozenset({'fat_g_cat=low'}),0.176,0.3335,0.065,0.3693181818181819,1.1074008450320296,1.0,0.006304000000000004,1.056792792792793,0.1176997759522032,0.14623172103487062,0.053740707904248855,0.2821103652719095
frozenset({'fat_g_cat=low'}),frozenset({'diet_type=Balanced'}),0.3335,0.176,0.065,0.19490254872563717,1.1074008450320294,1.0,0.006304000000000004,1.0234785847299814,0.14551330140227373,0.14623172103487062,0.02293998631752085,0.2821103652719095
frozenset({'protein_g_cat=high'}),frozenset({'meal_type=Lunch'}),0.333,0.2565,0.0945,0.28378378378378377,1.106369527422159,1.0,0.009085499999999996,1.0380943396226416,0.14414221460698215,0.19090909090909092,0.03669641396608442,0.3261024182076814
frozenset({'meal_type=Lunch'}),frozenset({'protein_g_cat=high'}),0.2565,0.333,0.0945,0.3684210526315789,1.1063695274221588,1.0,0.009085499999999996,1.0560833333333335,0.1293111730233451,0.19090909090909092,0.053105026434151284,0.3261024182076814
frozenset({'meal_type=Breakfast'}),frozenset({'carbs_g_cat=low'}),0.252,0.334,0.093,0.36904761904761907,1.1049329911605361,1.0,0.008831999999999993,1.0555471698113206,0.12696222183888206,0.1886409736308316,0.052624052624052634,0.32374536641003704
frozenset({'carbs_g_cat=low'}),frozenset({'meal_type=Breakfast'}),0.334,0.252,0.093,0.27844311377245506,1.104932991160536,1.0,0.008831999999999993,1.0366473029045642,0.14259420711033605,0.1886409736308316,0.035351756380287515,0.32374536641003704
frozenset({'diet_type=Paleo'}),frozenset({'sugar_g_cat=medium'}),0.1595,0.332,0.0585,0.3667711598746082,1.104732409260868,1.0,0.005546000000000002,1.0549108910891087,0.11279407353172972,0.13510392609699767,0.05205263454282659,0.2714879895758583
frozenset({'sugar_g_cat=medium'}),frozenset({'diet_type=Paleo'}),0.332,0.1595,0.0585,0.17620481927710843,1.104732409260868,1.0,0.005546000000000002,1.0202778793418648,0.14192128563386056,0.13510392609699767,0.019874859342187304,0.2714879895758583
frozenset({'carbs_g_cat=high'}),frozenset({'cooking_method=Steamed'}),0.3335,0.14,0.0515,0.15442278860569714,1.1030199186121223,1.0,0.004809999999999988,1.0170567375886526,0.14013212040874262,0.12203791469194311,0.016770684425229214,0.26113996573141995
frozenset({'cooking_method=Steamed'}),frozenset({'carbs_g_cat=high'}),0.14,0.3335,0.0515,0.3678571428571428,1.1030199186121223,1.0,0.004809999999999988,1.0543502824858757,0.10860239331677553,0.12203791469194311,0.05154860143607323,0.26113996573141995
frozenset({'cooking_method=Roasted'}),frozenset({'sodium_mg_cat=medium'}),0.1475,0.3325,0.054,0.36610169491525424,1.1010577290684338,1.0,0.004956250000000002,1.0530080213903743,0.10766264798522868,0.1267605633802817,0.050339617850568126,0.2642538549764241
frozenset({'sodium_mg_cat=medium'}),frozenset({'cooking_method=Roasted'}),0.3325,0.1475,0.054,0.16240601503759397,1.1010577290684338,1.0,0.004956250000000002,1.0177962298025136,0.13750173394368156,0.1267605633802817,0.01748506162767622,0.2642538549764241
frozenset({'fat_g_cat=high'}),frozenset({'sugar_g_cat=medium'}),0.333,0.332,0.1215,0.36486486486486486,1.098990556821882,1.0,0.010943999999999982,1.0517446808510638,0.13504358931645266,0.22355105795768165,0.04919889949830066,0.3654143601432758
frozenset({'sugar_g_cat=medium'}),frozenset({'fat_g_cat=high'}),0.332,0.333,0.1215,0.36596385542168675,1.098990556821882,1.0,0.010943999999999982,1.0519904988123516,0.13484142825460171,0.22355105795768165,0.04942107259623197,0.3654143601432758
frozenset({'fiber_g_cat=high'}),frozenset({'protein_g_cat=high'}),0.3335,0.333,0.122,0.3658170914542728,1.0985498241870055,1.0,0.010944499999999982,1.0517470449172577,0.13459717388363462,0.22405876951331494,0.049201036663077666,0.3660917289103196
frozenset({'protein_g_cat=high'}),frozenset({'fiber_g_cat=high'}),0.333,0.3335,0.122,0.3663663663663663,1.0985498241870053,1.0,0.010944499999999982,1.0518696682464455,0.13449627645193774,0.22405876951331494,0.049311877518929195,0.3660917289103196
frozenset({'diet_type=Balanced'}),frozenset({'fiber_g_cat=medium'}),0.176,0.3285,0.0635,0.3607954545454546,1.098311885983119,1.0,0.0056840000000000016,1.0505244444444446,0.10863083862090056,0.14399092970521543,0.04809449671698373,0.2770491732392417
frozenset({'fiber_g_cat=medium'}),frozenset({'diet_type=Balanced'}),0.3285,0.176,0.0635,0.1933028919330289,1.098311885983119,1.0,0.0056840000000000016,1.0214490566037735,0.13330128223919893,0.14399092970521543,0.02099865525853024,0.2770491732392417
frozenset({'meal_type=Lunch'}),frozenset({'sugar_g_cat=medium'}),0.2565,0.332,0.0935,0.3645224171539961,1.0979590878132413,1.0,0.008341999999999988,1.0511779141104292,0.11999899305568025,0.18888888888888888,0.04868625322454501,0.32307446158904624
frozenset({'sugar_g_cat=medium'}),frozenset({'meal_type=Lunch'}),0.332,0.2565,0.0935,0.2816265060240964,1.0979590878132413,1.0,0.008341999999999988,1.0349769392033543,0.13356175349835073,0.18888888888888888,0.03379489714068108,0.32307446158904624
frozenset({'sodium_mg_cat=medium'}),frozenset({'carbs_g_cat=high'}),0.3325,0.3335,0.1215,0.3654135338345864,1.0956927551261961,1.0,0.010611249999999989,1.0502902843601896,0.1308395369985048,0.2231404958677686,0.04788227131970952,0.3648656874570233
frozenset({'carbs_g_cat=high'}),frozenset({'sodium_mg_cat=medium'}),0.3335,0.3325,0.1215,0.36431784107946025,1.0956927551261961,1.0,0.010611249999999989,1.0500530660377358,0.13103584538109825,0.2231404958677686,0.04766717764713143,0.3648656874570233
frozenset({'protein_g_cat=medium'}),frozenset({'cholesterol_mg_cat=low'}),0.3325,0.335,0.122,0.3669172932330827,1.0952755021883065,1.0,0.010612499999999983,1.0504156769596198,0.13031865905323245,0.2236480293308891,0.047995929673808536,0.3655481988553473
frozenset({'cholesterol_mg_cat=low'}),frozenset({'protein_g_cat=medium'}),0.335,0.3325,0.122,0.3641791044776119,1.0952755021883065,1.0,0.010612499999999983,1.0498239436619718,0.13080857882410923,0.2236480293308891,0.04745933255072945,0.3655481988553473
frozenset({'cuisine=Indian'}),frozenset({'fat_g_cat=low'}),0.141,0.3335,0.0515,0.36524822695035464,1.0951970823099089,1.0,0.004476500000000001,1.0500167597765364,0.10119013981034622,0.12174940898345152,0.04763424898777888,0.2598355077780259
frozenset({'fat_g_cat=low'}),frozenset({'cuisine=Indian'}),0.3335,0.141,0.0515,0.15442278860569714,1.0951970823099089,1.0,0.004476500000000001,1.0158741134751772,0.13041609917042374,0.12174940898345152,0.01562606356891403,0.2598355077780259
frozenset({'diet_type=Vegetarian'}),frozenset({'cholesterol_mg_cat=high'}),0.162,0.33,0.0585,0.3611111111111111,1.0942760942760943,1.0,0.005039999999999996,1.048695652173913,0.10280888562511464,0.13494809688581316,0.0464344941956882,0.2691919191919192
frozenset({'cholesterol_mg_cat=high'}),frozenset({'diet_type=Vegetarian'}),0.33,0.162,0.0585,0.17727272727272728,1.0942760942760943,1.0,0.005039999999999996,1.018563535911602,0.12858783008036728,0.13494809688581316,0.018225211542633978,0.2691919191919192
frozenset({'cholesterol_mg_cat=low'}),frozenset({'diet_type=Keto'}),0.335,0.161,0.059,0.1761194029850746,1.0939093353110225,1.0,0.005064999999999993,1.0183514492753623,0.12909392124378727,0.13501144164759724,0.018020742532866042,0.27128951515713357
frozenset({'diet_type=Keto'}),frozenset({'cholesterol_mg_cat=low'}),0.161,0.335,0.059,0.3664596273291925,1.0939093353110223,1.0,0.005064999999999993,1.049656862745098,0.10232116522898514,0.13501144164759724,0.0473077102694624,0.27128951515713357
frozenset({'protein_g_cat=low'}),frozenset({'cholesterol_mg_cat=medium'}),0.3345,0.335,0.1225,0.3662182361733931,1.0931887646966958,1.0,0.01044249999999998,1.049257075471698,0.12809150707615855,0.22394881170018283,0.04694471605021517,0.3659449389822189
frozenset({'cholesterol_mg_cat=medium'}),frozenset({'protein_g_cat=low'}),0.335,0.3345,0.1225,0.3656716417910447,1.0931887646966956,1.0,0.01044249999999998,1.049141176470588,0.12818781647997518,0.22394881170018283,0.0468394316920281,0.3659449389822189
frozenset({'meal_type=Breakfast'}),frozenset({'fat_g_cat=high'}),0.252,0.333,0.0915,0.3630952380952381,1.0903760903760902,1.0,0.0075839999999999935,1.0472523364485982,0.1108091522749188,0.18541033434650459,0.04512029699435991,0.3189350064350064
frozenset({'fat_g_cat=high'}),frozenset({'meal_type=Breakfast'}),0.333,0.252,0.0915,0.27477477477477474,1.0903760903760902,1.0,0.0075839999999999935,1.0314037267080745,0.12426573598446668,0.18541033434650459,0.03044755985932452,0.3189350064350064
frozenset({'cholesterol_mg_cat=low'}),frozenset({'meal_type=Breakfast'}),0.335,0.252,0.092,0.2746268656716418,1.089789149490642,1.0,0.0075799999999999895,1.03119341563786,0.12389669826740747,0.18585858585858586,0.030249820416633415,0.3198531153755034
frozenset({'meal_type=Breakfast'}),frozenset({'cholesterol_mg_cat=low'}),0.252,0.335,0.092,0.36507936507936506,1.089789149490642,1.0,0.0075799999999999895,1.0473750000000002,0.11014880260404541,0.18585858585858586,0.04523212793889479,0.3198531153755034
frozenset({'sugar_g_cat=high'}),frozenset({'calories_cat=medium'}),0.333,0.3335,0.121,0.36336336336336333,1.0895453174313743,1.0,0.009944499999999981,1.0469080188679243,0.1232173169613538,0.22181484876260307,0.044806246606696645,0.3630909770340055
frozenset({'calories_cat=medium'}),frozenset({'sugar_g_cat=high'}),0.3335,0.333,0.121,0.36281859070464767,1.0895453174313743,1.0,0.009944499999999981,1.0467976470588236,0.123309753058099,0.22181484876260307,0.04470553329032631,0.3630909770340055
frozenset({'cooking_method=Boiled'}),frozenset({'fiber_g_cat=high'}),0.153,0.3335,0.0555,0.3627450980392157,1.0876914483934503,1.0,0.004474499999999999,1.0458923076923077,0.09518491336673153,0.12877030162412992,0.043878616713001736,0.2645809448217068
frozenset({'fiber_g_cat=high'}),frozenset({'cooking_method=Boiled'}),0.3335,0.153,0.0555,0.1664167916041979,1.0876914483934503,1.0,0.004474499999999999,1.016095323741007,0.12096267310070759,0.12877030162412992,0.01584036789161499,0.2645809448217068
frozenset({'cholesterol_mg_cat=high'}),frozenset({'diet_type=Balanced'}),0.33,0.176,0.063,0.1909090909090909,1.0847107438016528,1.0,0.004920000000000001,1.018426966292135,0.11656005685856434,0.14221218961625282,0.01809355692850837,0.27443181818181817
frozenset({'diet_type=Balanced'}),frozenset({'cholesterol_mg_cat=high'}),0.176,0.33,0.063,0.35795454545454547,1.0847107438016528,1.0,0.004920000000000001,1.0435398230088493,0.09477577438742488,0.14221218961625282,0.04172320217096337,0.27443181818181817
frozenset({'calories_cat=medium'}),frozenset({'diet_type=Vegetarian'}),0.3335,0.162,0.0585,0.17541229385307347,1.082791937364651,1.0,0.004472999999999998,1.0162654545454546,0.11472098793929245,0.13386727688787184,0.01600512392968194,0.2682617024820923
frozenset({'diet_type=Vegetarian'}),frozenset({'calories_cat=medium'}),0.162,0.3335,0.0585,0.3611111111111111,1.0827919373646508,1.0,0.004472999999999998,1.0432173913043479,0.09124288599228929,0.13386727688787184,0.04142702342252226,0.2682617024820923
frozenset({'cooking_method=Baked'}),frozenset({'fat_g_cat=high'}),0.147,0.333,0.053,0.36054421768707484,1.0827153684296542,1.0,0.004048999999999997,1.0430744680851063,0.0895618129133579,0.12412177985948478,0.0412956786912666,0.259851688423117
frozenset({'fat_g_cat=high'}),frozenset({'cooking_method=Baked'}),0.333,0.147,0.053,0.15915915915915915,1.0827153684296542,1.0,0.004048999999999997,1.0144607142857143,0.11453707108709787,0.12412177985948478,0.014254582836059978,0.259851688423117
frozenset({'sodium_mg_cat=high'}),frozenset({'meal_type=Dinner'}),0.3335,0.2465,0.089,0.26686656671664166,1.0826229887084855,1.0,0.006792249999999986,1.0277801635991821,0.11450474978295112,0.18126272912423622,0.027029285622616674,0.31396066672546075
frozenset({'meal_type=Dinner'}),frozenset({'sodium_mg_cat=high'}),0.2465,0.3335,0.089,0.3610547667342799,1.0826229887084853,1.0,0.006792249999999986,1.0431253968253966,0.10128389612519831,0.18126272912423622,0.041342485722850514,0.31396066672546075
frozenset({'cooking_method=Steamed'}),frozenset({'fiber_g_cat=high'}),0.14,0.3335,0.0505,0.3607142857142857,1.0816020561147996,1.0,0.003809999999999994,1.0425698324022348,0.08772737738890153,0.1193853427895981,0.040831636480548675,0.2560692867851788
frozenset({'fiber_g_cat=high'}),frozenset({'cooking_method=Steamed'}),0.3335,0.14,0.0505,0.15142428785607195,1.0816020561147996,1.0,0.003809999999999994,1.0134628975265019,0.1131966159856794,0.1193853427895981,0.01328405564659528,0.2560692867851788
frozenset({'diet_type=Vegan'}),frozenset({'sugar_g_cat=low'}),0.1725,0.335,0.0625,0.3623188405797102,1.0815487778498811,1.0,0.004712500000000001,1.0428409090909092,0.09111782477341392,0.14044943820224717,0.04108096327775967,0.27444300237940733
frozenset({'sugar_g_cat=low'}),frozenset({'diet_type=Vegan'}),0.335,0.1725,0.0625,0.18656716417910446,1.0815487778498811,1.0,0.004712500000000001,1.0172935779816514,0.11338345864661657,0.14044943820224717,0.01699959417414438,0.27444300237940733
frozenset({'cooking_method=Roasted'}),frozenset({'carbs_g_cat=medium'}),0.1475,0.3325,0.053,0.3593220338983051,1.080667771122722,1.0,0.003956250000000001,1.0418650793650794,0.08756155591213416,0.12412177985948478,0.04018282231955815,0.2593602650694533
